origin_iata,origin_lon,origin_lat,dest_iata,dest_lon,dest_lat,total
ATL,-84.4277001,33.6407282,IAH,-95.3367827,29.9902199,166
SFO,-122.3789554,37.6213129,PDX,-122.5950942,45.58976939999999,166
ATL,-84.4277001,33.6407282,PHL,-75.2424229,39.8743959,165
DEN,-104.6737376,39.8560963,DTW,-83.3553842,42.2161722,165
MIA,-80.2870509,25.7958723,IAH,-95.3367827,29.9902199,165
PDX,-122.5950942,45.58976939999999,SFO,-122.3789554,37.6213129,165
SFO,-122.3789554,37.6213129,LAS,-115.1537389,36.0839998,165
ATL,-84.4277001,33.6407282,IAD,-77.45653879999999,38.9531162,164
EWR,-74.1744624,40.6895314,MCO,-81.308083,28.4311577,164
MEM,-89.9791729,35.0420679,IAH,-95.3367827,29.9902199,163
ORD,-87.9073214,41.9741625,BNA,-86.67737129999999,36.126317,163
ORD,-87.9073214,41.9741625,MSN,-89.33641279999999,43.1390659,163
ORD,-87.9073214,41.9741625,OMA,-95.8937409,41.3018733,163
SEA,-122.3088165,47.4502499,PHX,-112.0077881,33.4372686,163
BOS,-71.0095602,42.3656132,PHL,-75.2424229,39.8743959,162
DTW,-83.3553842,42.2161722,DEN,-104.6737376,39.8560963,162
MEM,-89.9791729,35.0420679,ORD,-87.9073214,41.9741625,161
OMA,-95.8937409,41.3018733,ORD,-87.9073214,41.9741625,161
ATL,-84.4277001,33.6407282,FLL,-80.1506022,26.0742344,160
ORD,-87.9073214,41.9741625,GRR,-85.5248434,42.8846633,160
ORD,-87.9073214,41.9741625,SFO,-122.3789554,37.6213129,160
PHX,-112.0077881,33.4372686,SFO,-122.3789554,37.6213129,160
RDU,-78.7879963,35.88007899999999,EWR,-74.1744624,40.6895314,160
BNA,-86.67737129999999,36.126317,ORD,-87.9073214,41.9741625,159
DEN,-104.6737376,39.8560963,LAS,-115.1537389,36.0839998,159
MEM,-89.9791729,35.0420679,DEN,-104.6737376,39.8560963,159
MIA,-80.2870509,25.7958723,JFK,-73.77813909999999,40.6413111,159
SLC,-111.9790706,40.7899404,LAX,-118.40853,33.9415889,159
SLC,-111.9790706,40.7899404,SFO,-122.3789554,37.6213129,159
AUS,-97.66635289999999,30.19747109999999,IAH,-95.3367827,29.9902199,158
