icao_code,iata_code,name,city,country,altitude,lat_decimal,lon_decimal,id
CWHJ,N/A,N/A,HOLBERG,CANADA,0,0,0,77
CWMK,N/A,N/A,SIMCOE,CANADA,0,0,0,78
CWMN,N/A,N/A,MOUNT FOREST,CANADA,0,0,0,79
CWOH,N/A,N/A,SAINTE AGATHE,CANADA,0,0,0,80
CWPC,N/A,N/A,PINCHER CREEK,CANADA,0,0,0,81
CWPO,N/A,N/A,PILOT MOUNT,CANADA,0,0,0,82
CWVA,N/A,N/A,BONAVISTA,CANADA,0,0,0,83
CYAB,YAB,N/A,ARCTIC BAY,CANADA,0,0,0,84
CYAJ,N/A,N/A,KOMAKUK,CANADA,0,0,0,85
CYAL,YAL,N/A,ALERT BAY,CANADA,0,0,0,86
CYAM,YAM,SAULT STE MARIE,SAULT SAINTE MARIE,CANADA,193,46.485,-84.509,87
CYAV,YAV,WINNIPEG ST ANDREWS,WINNIPEG,CANADA,232,50.056,-97.032,88
CYAW,YAW,SHEARWATER,HALIFAX,CANADA,51,44.64,-63.499,89
CYAY,YAY,ST ANTHONY,ST. ANTHONY,CANADA,29,51.392,-56.084,90
CYAZ,YAZ,TOFINO,TOFINO,CANADA,25,49.082,-125.772,91
CYBA,N/A,N/A,BANFF,CANADA,0,0,0,92
CYBB,YBB,KUGAARUK,PELLY BAY,CANADA,18,68.534,-89.808,93
CYBC,YBC,BAIE COMEAU,BAIE COMEAU,CANADA,22,49.132,-68.207,94
CYBG,YBG,BAGOTVILLE,BAGOTVILLE,CANADA,160,48.331,-70.996,95
CYBK,YBK,BAKER LAKE,BAKER LAKE,CANADA,18,64.299,-96.078,96
CYBL,YBL,CAMPBELL RIVER,CAMPBELL RIVER,CANADA,106,49.951,-125.271,97
CYBR,YBR,BRANDON MUNI,BRANDON,CANADA,410,49.91,-99.952,98
CYBT,YBT,N/A,BROCHET,CANADA,0,0,0,99
CYCA,YRF,N/A,CARTWRIGHT,CANADA,0,0,0,100
CYCB,YCB,CAMBRIDGE BAY,CAMBRIDGE BAY,CANADA,28,69.108,-105.138,101
CYCD,YCD,NANAIMO,NANAIMO,CANADA,29,49.052,-123.87,102
CYCG,YCG,CASTLEGAR,CASTLEGAR,CANADA,495,49.296,-117.632,103
CYCH,YCH,MIRAMICHI,CHATHAM,CANADA,33,47.008,-65.449,104
CYCL,YCL,CHARLO,CHARLO,CANADA,41,47.991,-66.331,105
